ID_Transacao,Data,Valor,ID_Cliente,Anomalia
45525,2023-07-31T15:39:22.518Z,73143.39081526664,5048,true
62291,2024-07-09T07:59:57.836Z,76328.51778129501,5043,true
20249,2023-02-23T14:14:28.223Z,90812.45666741783,3765,true
91491,2024-09-06T17:47:17.997Z,95316.56785049787,9237,true
15428,2024-08-04T00:25:40.151Z,82548.3160420938,1850,true
30399,2024-09-02T15:18:05.567Z,63821.86964287682,9822,true
43780,2024-01-25T09:42:01.428Z,69336.06038053085,5903,true
90610,2023-06-12T21:43:14.309Z,98711.38778145165,1844,true
33454,2023-04-16T11:24:40.345Z,76531.02297196223,1886,true
35449,2023-01-19T04:15:15.610Z,60645.53389478186,4864,true
43241,2023-06-28T21:32:01.743Z,50071.63637929019,8876,true
83626,2024-11-03T00:01:36.682Z,79762.46965970966,9197,true
75676,2024-12-14T17:21:47.888Z,70909.77715789882,3013,true
95006,2023-08-29T20:32:29.312Z,76553.10480846727,9051,true
31667,2023-06-25T20:26:00.192Z,63203.65649723142,6913,true
53735,2024-10-07T16:50:00.421Z,57676.16602124134,9380,true
18511,2024-03-17T12:08:18.456Z,65603.8100614541,8675,true
58653,2023-03-21T12:09:28.523Z,72302.11919086146,6729,true
91558,2023-05-25T05:05:22.570Z,94221.70238254174,6950,true
84555,2024-08-26T00:12:34.843Z,67768.1820550411,6521,true
99405,2024-07-16T21:29:22.474Z,76811.19128605761,3016,true
25480,2024-10-16T18:58:47.547Z,96473.7833457677,9129,true
70806,2024-06-14T01:45:17.128Z,99961.53093010695,8940,true
72124,2023-02-21T14:34:22.867Z,90848.99038089998,7381,true
77360,2023-02-01T05:51:12.375Z,80821.40278616638,5743,true
37762,2024-03-03T20:16:54.686Z,55971.21361972918,2910,true
48464,2024-02-15T22:59:39.057Z,51892.55216086813,5228,true
43490,2024-05-29T20:43:30.477Z,82930.14862466697,9049,true
75880,2024-07-24T21:34:27.020Z,52170.412162913715,5965,true
70491,2024-06-10T09:03:01.176Z,60555.23758373959,5453,true
79362,2023-01-03T22:10:07.093Z,82962.41064700362,1764,true
80777,2024-08-27T10:36:33.748Z,59306.521366169436,7861,true
54144,2024-07-09T03:27:41.589Z,89440.00193701271,4671,true
60353,2023-05-04T08:21:55.943Z,71107.19918261268,4549,true
43826,2024-05-08T00:30:28.903Z,52024.26707800525,8426,true
18867,2024-01-26T11:23:35.758Z,83630.81392865896,4021,true
32932,2024-12-28T12:11:04.653Z,90564.46371663589,6872,true
48782,2024-08-20T10:38:31.239Z,64508.69300965392,3992,true
56684,2023-02-13T02:38:05.179Z,75961.98673629758,6330,true
87967,2024-02-13T08:17:38.427Z,57953.43857582811,6700,true
67386,2023-07-19T05:21:57.626Z,81132.6657242323,7164,true
28958,2024-07-14T21:38:19.968Z,50762.11102147436,6489,true
36021,2024-12-29T07:24:10.741Z,91985.52431879644,6294,true
10563,2024-04-06T01:34:39.034Z,60052.88926645464,5416,true
53999,2024-03-31T12:28:01.296Z,84812.71528019838,1229,true
76621,2024-08-22T03:29:16.598Z,70461.38159910015,1798,true
85491,2023-06-11T18:42:17.621Z,95735.99081517043,5884,true
63857,2024-05-26T14:32:55.230Z,90046.6312189373,6324,true
39473,2023-06-08T05:47:01.017Z,92001.43495326398,5817,true
29863,2024-03-14T07:09:06.426Z,55724.259616085285,6405,true
18827,2024-05-08T05:26:51.855Z,71915.25646440191,6194,true
10645,2024-04-28T22:17:37.772Z,79305.9042723147,6930,true
89086,2023-06-09T11:20:48.587Z,79180.94515829238,2563,true
66451,2023-08-14T12:03:59.712Z,94736.35494216938,4079,true
48251,2023-06-21T12:52:41.055Z,79880.62409475783,8189,true
63763,2023-12-10T08:17:12.292Z,88215.68135047439,6917,true
31131,2023-11-30T00:24:15.946Z,82552.52355153504,5434,true
43231,2024-08-23T16:10:58.288Z,91689.3599018251,9573,true
41383,2024-08-12T09:24:42.295Z,78211.48274275727,3074,true
55497,2023-09-05T02:21:15.048Z,56584.96963048088,4367,true
86196,2023-11-18T07:37:01.737Z,97495.8622118595,9832,true
10435,2023-04-08T10:33:37.433Z,74779.72658700179,4462,true
70921,2023-04-18T07:46:34.512Z,95652.63676108391,3447,true
12884,2024-10-25T13:27:19.986Z,67794.611478596,8404,true
41450,2024-06-09T16:13:16.930Z,64385.02492491626,8943,true
24404,2023-11-02T14:10:11.933Z,73031.01682180751,1526,true
75580,2024-05-30T19:09:52.041Z,77016.58531249902,6921,true
80040,2024-03-16T18:11:42.351Z,87274.13337111392,7578,true
